券商買賣股票成交價量資訊
股票代碼,="3034"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,421.50,1000,0,,2,1020合　　庫,422.00,0,1000 
3,1020合　　庫,426.00,50,0,,4,1020合　　庫,427.50,0,1000 
5,1020合　　庫,428.50,100,0,,6,1020合　　庫,429.50,1000,1000 
7,1020合　　庫,430.00,50,0,,8,1021合庫台中,423.50,0,1000 
9,1021合庫台中,428.00,0,1000,,10,1021合庫台中,430.00,0,2000 
11,1021合庫台中,431.00,0,2000,,12,1022合庫台南,430.00,0,400 
13,1022合庫台南,431.00,0,1000,,14,1023合庫高雄,423.00,0,1000 
15,1023合庫高雄,428.00,0,2000,,16,1023合庫高雄,428.50,0,50 
17,1023合庫高雄,429.00,0,1040,,18,1023合庫高雄,429.50,0,1050 
19,1023合庫高雄,430.00,0,2000,,20,1023合庫高雄,430.50,0,1000 
21,1023合庫高雄,431.00,0,3000,,22,1024合庫嘉義,425.00,0,10 
23,1025合庫基隆,426.00,0,1000,,24,1025合庫基隆,428.00,96,0 
25,1025合庫基隆,429.00,0,50,,26,1028合庫彰化,425.00,0,12 
27,1029合庫鳳山,422.00,0,4000,,28,1029合庫鳳山,425.50,0,1000 
29,1029合庫鳳山,428.00,20,0,,30,102A合庫新竹,427.00,200,0 
31,102A合庫新竹,428.50,115,0,,32,102A合庫新竹,429.00,0,1000 
33,102A合庫新竹,429.50,1000,0,,34,102C合庫自強,422.50,1000,0 
35,102C合庫自強,424.00,0,1000,,36,102C合庫自強,425.00,1000,0 
37,102C合庫自強,428.00,0,65,,38,102C合庫自強,428.50,1000,0 
39,102C合庫自強,431.50,0,4000,,40,102E合庫桃園,422.00,2000,0 
41,102E合庫桃園,430.00,100,3000,,42,102E合庫桃園,431.00,2000,0 
43,102F合庫西台,426.00,0,1000,,44,102F合庫西台,429.00,1000,0 
45,102F合庫西台,430.50,0,1000,,46,102G合庫三重,431.50,0,1000 
47,1030土　　銀,427.00,0,5000,,48,1030土　　銀,427.50,1000,0 
49,1030土　　銀,429.00,0,1010,,50,1030土　　銀,429.50,0,1030 
51,1030土　　銀,430.00,0,10,,52,1031土銀台中,421.50,1000,0 
53,1031土銀台中,422.00,1000,0,,54,1031土銀台中,429.00,0,2000 
55,1031土銀台中,429.50,0,1100,,56,1031土銀台中,430.00,0,4000 
57,1031土銀台中,431.00,0,7000,,58,1032土銀台南,428.50,6000,0 
59,1032土銀台南,429.50,0,2000,,60,1032土銀台南,430.50,0,6000 
61,1032土銀台南,431.00,0,6000,,62,1033土銀高雄,429.00,0,5000 
63,1034土銀嘉義,422.00,0,1000,,64,1034土銀嘉義,425.00,0,2000 
65,1034土銀嘉義,426.50,0,1000,,66,1034土銀嘉義,427.00,0,1000 
67,1034土銀嘉義,429.00,1000,0,,68,1034土銀嘉義,431.50,0,1000 
69,1035土銀新竹,428.50,0,500,,70,1035土銀新竹,430.00,0,1100 
71,1035土銀新竹,431.00,0,3000,,72,1036土銀玉里,431.50,0,1000 
73,1039土銀士林,429.50,0,1000,,74,103B土銀彰化,422.00,0,1000 
75,103B土銀彰化,431.00,0,1000,,76,103F土銀南港,421.50,0,1000 
77,1040臺    銀,425.00,0,300,,78,1040臺    銀,426.00,0,2000 
79,1040臺    銀,426.50,0,1000,,80,1040臺    銀,427.00,50,1000 
81,1040臺    銀,427.50,0,1000,,82,1040臺    銀,428.00,85,0 
83,1040臺    銀,429.00,0,10,,84,1040臺    銀,429.50,85,0 
85,1040臺    銀,430.00,0,1000,,86,1040臺    銀,431.00,0,3000 
87,1040臺    銀,431.50,0,1000,,88,1041臺銀鳳山,422.50,0,1000 
89,1041臺銀鳳山,423.00,0,1000,,90,1041臺銀鳳山,425.00,0,600 
91,1041臺銀鳳山,425.50,1,0,,92,1041臺銀鳳山,428.00,1000,0 
93,1041臺銀鳳山,429.00,2,0,,94,1041臺銀鳳山,429.50,10,7 
95,1041臺銀鳳山,430.00,1000,101,,96,1041臺銀鳳山,431.00,0,1000 
97,1041臺銀鳳山,431.50,0,2000,,98,1042臺銀臺南,422.00,0,1000 
99,1042臺銀臺南,428.00,0,101,,100,1042臺銀臺南,429.00,100,0 
101,1042臺銀臺南,429.50,0,2000,,102,1042臺銀臺南,430.00,0,2100 
103,1042臺銀臺南,431.00,1000,0,,104,1042臺銀臺南,431.50,0,2000 
105,1043臺銀民權,420.50,1000,0,,106,1043臺銀民權,422.00,1000,2000 
107,1043臺銀民權,423.00,0,1000,,108,1043臺銀民權,426.50,0,1000 
109,1043臺銀民權,427.00,115,1000,,110,1043臺銀民權,428.50,0,4000 
111,1043臺銀民權,429.50,0,50,,112,1045臺銀新竹,422.50,1000,0 
113,1045臺銀新竹,426.50,1000,2000,,114,1045臺銀新竹,429.00,10,3000 
115,1045臺銀新竹,429.50,1000,0,,116,1045臺銀新竹,430.00,1000,1000 
117,1045臺銀新竹,431.00,1000,2000,,118,104A臺銀臺中,423.00,0,1000 
119,104A臺銀臺中,424.50,0,4000,,120,104A臺銀臺中,425.00,1000,0 
121,104A臺銀臺中,425.50,0,80,,122,104A臺銀臺中,427.00,1000,0 
123,104A臺銀臺中,428.00,0,10,,124,104A臺銀臺中,429.00,10,2057 
125,104A臺銀臺中,429.50,20,15,,126,104A臺銀臺中,430.00,1009,3000 
127,104A臺銀臺中,431.00,0,1000,,128,104A臺銀臺中,431.50,0,2000 
129,104C臺銀高雄,425.00,1000,0,,130,104C臺銀高雄,426.00,0,12 
131,104C臺銀高雄,427.00,0,100,,132,104C臺銀高雄,429.00,0,1030 
133,104C臺銀高雄,429.50,0,2000,,134,104C臺銀高雄,430.00,1000,300 
135,104C臺銀高雄,430.50,2000,0,,136,104C臺銀高雄,431.00,0,2000 
137,104C臺銀高雄,431.50,0,1000,,138,104D臺銀金山,429.00,0,3000 
139,104D臺銀金山,429.50,2,1000,,140,104D臺銀金山,430.00,0,1100 
141,1110企    銀,421.00,0,1000,,142,1110企    銀,422.00,0,1000 
143,1110企    銀,429.50,1000,0,,144,1110企    銀,431.50,0,1000 
145,1112企銀台南,426.50,1000,0,,146,1112企銀台南,429.00,0,1000 
147,1112企銀台南,430.00,0,2000,,148,1112企銀台南,431.00,0,1000 
149,1114企銀嘉義,428.50,0,1000,,150,1114企銀嘉義,429.00,0,2000 
151,1114企銀嘉義,429.50,0,100,,152,1114企銀嘉義,431.00,0,1000 
153,1115企銀太平,425.00,0,1000,,154,1117企銀竹北,429.00,1000,0 
155,1117企銀竹北,429.50,0,1030,,156,1118企銀豐原,429.00,0,2000 
157,1119企銀岡山,425.50,0,3000,,158,1119企銀岡山,426.50,0,4000 
159,1119企銀岡山,430.00,0,1000,,160,111E企銀桃園,428.50,0,1000 
161,111E企銀桃園,429.00,1000,0,,162,111E企銀桃園,430.00,2000,0 
163,111E企銀桃園,430.50,2000,0,,164,111E企銀桃園,431.00,0,1000 
165,111E企銀桃園,431.50,0,4000,,166,111G企銀埔墘,429.00,0,1000 
167,111G企銀埔墘,430.50,1000,0,,168,1160日    盛,422.00,0,1000 
169,1160日    盛,425.00,1000,0,,170,1160日    盛,426.00,0,13000 
171,1160日    盛,426.50,1000,30000,,172,1160日    盛,428.00,0,200 
173,1160日    盛,429.00,0,1170,,174,1160日    盛,430.00,0,1008 
175,1160日    盛,431.50,0,1000,,176,1161日盛忠孝,429.00,0,100 
177,1161日盛忠孝,431.50,0,1000,,178,1162日盛台南,426.00,0,10 
179,1162日盛台南,428.00,0,1020,,180,1162日盛台南,428.50,0,1010 
181,1162日盛台南,429.00,1000,10,,182,1162日盛台南,429.50,0,200 
183,1163日盛台中,428.00,0,25,,184,1163日盛台中,430.00,0,50 
185,1163日盛台中,431.50,0,8000,,186,1165日盛板橋,422.00,0,1000 
187,1165日盛板橋,422.50,0,1000,,188,1165日盛板橋,423.00,0,1000 
189,1165日盛板橋,426.00,0,2000,,190,1165日盛板橋,426.50,0,1000 
191,1165日盛板橋,427.50,0,2000,,192,1165日盛板橋,429.00,0,200 
193,1165日盛板橋,430.00,0,2000,,194,1165日盛板橋,430.50,0,4000 
195,1165日盛板橋,431.00,0,2000,,196,1165日盛板橋,431.50,0,10000 
197,1166日盛雙和,423.50,0,1000,,198,1166日盛雙和,427.00,0,250 
199,1166日盛雙和,428.00,0,10,,200,1166日盛雙和,428.50,0,1000 
201,1166日盛雙和,429.50,0,30,,202,1166日盛雙和,430.00,50,0 
203,1166日盛雙和,431.00,2000,0,,204,1167日盛嘉義,428.50,0,1000 
205,1167日盛嘉義,429.50,27,1000,,206,1167日盛嘉義,430.00,0,2000 
207,1167日盛嘉義,430.50,0,1000,,208,1168日盛高雄,429.00,0,20 
209,1168日盛高雄,429.50,0,100,,210,1169日盛士林,429.50,100,0 
211,1169日盛士林,430.00,0,1000,,212,1169日盛士林,430.50,0,1000 
213,1169日盛士林,431.00,0,1000,,214,1169日盛士林,431.50,0,1000 
215,116A日盛木柵,422.00,0,1000,,216,116A日盛木柵,428.00,0,5000 
217,116A日盛木柵,429.00,0,1150,,218,116A日盛木柵,430.00,200,0 
219,116b日盛園區,427.50,0,1,,220,116b日盛園區,428.00,0,60 
221,116b日盛園區,430.00,0,1100,,222,116b日盛園區,431.00,0,1000 
223,116b日盛園區,432.00,1000,0,,224,116B日盛中壢,425.00,3000,0 
225,116B日盛中壢,427.50,0,3000,,226,116B日盛中壢,429.50,1000,30 
227,116B日盛中壢,430.00,0,5200,,228,116B日盛中壢,431.00,0,1000 
229,116B日盛中壢,431.50,4000,0,,230,116C日盛八德,429.50,1000,20 
231,116C日盛八德,430.00,0,1100,,232,116C日盛八德,430.50,0,1000 
233,116C日盛八德,431.00,2000,2000,,234,116C日盛八德,431.50,0,1000 
235,116d日盛三峽,428.00,0,150,,236,116d日盛三峽,429.50,0,100 
237,116e日盛竹北,425.00,1000,2000,,238,116e日盛竹北,430.00,0,1000 
239,116E日盛三重,430.00,0,1,,240,116f日盛復興,422.00,0,1000 
241,116f日盛復興,428.00,5000,0,,242,116f日盛復興,431.00,0,2000 
243,116F日盛員林,422.00,0,1000,,244,116F日盛員林,425.00,1000,0 
245,116F日盛員林,425.50,0,100,,246,116F日盛員林,428.50,0,1000 
247,116F日盛員林,430.00,0,1000,,248,116g日盛龍潭,431.00,0,2000 
249,116G日盛景美,426.50,0,1000,,250,116G日盛景美,428.00,0,8000 
251,116G日盛景美,429.00,2000,0,,252,116G日盛景美,429.50,2000,2000 
253,116G日盛景美,430.00,8000,2000,,254,116G日盛景美,430.50,2000,0 
255,116G日盛景美,431.00,7000,1000,,256,116G日盛景美,431.50,0,2000 
257,116H日盛新竹,422.00,0,1000,,258,116H日盛新竹,422.50,1000,0 
259,116H日盛新竹,425.00,1000,0,,260,116H日盛新竹,426.00,0,25 
261,116H日盛新竹,426.50,0,1000,,262,116H日盛新竹,427.00,0,25 
263,116H日盛新竹,427.50,1000,0,,264,116H日盛新竹,428.00,0,25 
265,116H日盛新竹,428.50,0,1000,,266,116H日盛新竹,429.00,0,725 
267,116H日盛新竹,429.50,1000,6152,,268,116H日盛新竹,430.00,0,25 
269,116H日盛新竹,431.00,1000,2000,,270,116H日盛新竹,431.50,0,1000 
271,116i日盛樹林,428.50,0,100,,272,116i日盛樹林,429.50,0,2000 
273,116i日盛樹林,430.00,0,1000,,274,116j日盛頭份,428.00,0,1000 
275,116j日盛頭份,429.50,265,0,,276,116k日盛北高,429.50,0,40 
277,116k日盛北高,430.00,0,30,,278,116k日盛北高,431.00,0,1000 
279,116K日盛花蓮,422.00,0,1000,,280,116K日盛花蓮,425.00,0,1100 
281,116K日盛花蓮,430.00,0,1000,,282,116L日盛大墩,429.00,0,1000 
283,116L日盛大墩,430.00,0,2000,,284,116m日盛和美,423.00,0,1000 
285,116m日盛和美,429.00,0,1100,,286,116m日盛和美,429.50,0,50 
287,116m日盛和美,430.00,0,1000,,288,116m日盛和美,431.50,0,2000 
289,116N日盛永康,431.00,0,1000,,290,116P日盛信義,429.00,200,0 
291,116P日盛信義,430.00,0,1000,,292,116P日盛信義,431.50,0,1000 
293,116r日盛文化,427.00,0,20,,294,116r日盛文化,427.50,0,1000 
295,116r日盛文化,430.00,0,1000,,296,116r日盛文化,431.00,0,2000 
297,116s日盛土城,425.00,0,1,,298,116S日盛新莊,428.50,0,82 
299,116S日盛新莊,429.00,0,1028,,300,116S日盛新莊,430.00,0,2000 
301,116S日盛新莊,431.00,0,1000,,302,116U日盛桃園,422.00,0,3000 
303,116U日盛桃園,423.00,0,1000,,304,116U日盛桃園,423.50,0,1000 
305,116U日盛桃園,424.00,0,1000,,306,116V日盛斗六,430.00,0,100 
307,116V日盛斗六,431.00,0,1000,,308,116W日盛鳳山,425.50,10,0 
309,116W日盛鳳山,429.00,1010,0,,310,116W日盛鳳山,429.50,0,250 
311,116W日盛鳳山,431.50,0,1000,,312,1230彰    銀,424.00,0,1000 
313,1230彰    銀,429.00,0,200,,314,1232彰銀七賢,431.00,0,1000 
315,1233彰銀台中,421.00,1000,0,,316,1233彰銀台中,422.00,1000,0 
317,1233彰銀台中,422.50,1000,0,,318,1233彰銀台中,429.00,2000,0 
319,1233彰銀台中,429.50,0,2000,,320,1233彰銀台中,430.00,0,1000 
321,1233彰銀台中,430.50,0,1000,,322,1233彰銀台中,431.00,0,1000 
323,1260宏    遠,428.00,0,1,,324,1260宏    遠,429.50,0,5001 
325,1260宏    遠,430.00,0,6000,,326,1260宏    遠,430.50,0,5000 
327,1260宏    遠,431.00,0,5000,,328,1260宏    遠,431.50,0,5000 
329,1262宏遠桃園,425.00,0,1000,,330,1262宏遠桃園,427.50,1,0 
331,1262宏遠桃園,429.00,0,4,,332,1262宏遠桃園,430.00,0,2000 
333,126D宏遠台南,430.50,0,1000,,334,126H宏遠中和,429.50,0,110 
335,126H宏遠中和,431.00,0,2000,,336,126H宏遠中和,431.50,0,4000 
337,126i宏遠光隆,429.00,0,1000,,338,126i宏遠光隆,430.00,0,2000 
339,126i宏遠光隆,430.50,1000,0,,340,126i宏遠光隆,431.00,0,2000 
341,126i宏遠光隆,431.50,0,1000,,342,126L宏遠台中,429.50,20,0 
343,126L宏遠台中,430.00,0,100,,344,126Q宏遠高雄,425.00,0,1 
345,126U宏遠館前,425.50,0,20,,346,126U宏遠館前,426.00,0,20 
347,126U宏遠館前,428.50,0,1000,,348,126U宏遠館前,429.00,0,40 
349,126U宏遠館前,429.50,0,1020,,350,126U宏遠館前,431.00,0,2000 
351,126X宏遠新化,422.00,0,1000,,352,126X宏遠新化,423.50,0,1000 
353,126X宏遠新化,425.00,0,1,,354,126X宏遠新化,428.00,0,2000 
355,126X宏遠新化,428.50,0,1000,,356,1360港麥格理,420.50,2000,0 
357,1360港麥格理,422.00,51000,0,,358,1360港麥格理,423.00,1000,0 
359,1360港麥格理,425.50,1000,0,,360,1360港麥格理,426.50,2000,0 
361,1360港麥格理,427.50,1000,0,,362,1360港麥格理,428.50,4000,2000 
363,1360港麥格理,429.00,5000,1000,,364,1360港麥格理,429.50,4000,2000 
365,1360港麥格理,430.00,6000,2000,,366,1360港麥格理,430.50,2000,1000 
367,1360港麥格理,431.00,5000,2000,,368,1360港麥格理,431.50,66000,7000 
