日期,證券代號,證券名稱,序號,券商,價格,買進股數,賣出股數
2002/03/11,3034,novatek,1,1020,421.50,1000,0
2002/03/11,3034,novatek,2,1020,422.00,0,1000
2002/03/11,3034,novatek,3,1020,426.00,50,0
2002/03/11,3034,novatek,4,1020,427.50,0,1000
2002/03/11,3034,novatek,5,1020,428.50,100,0
2002/03/11,3034,novatek,6,1020,429.50,1000,1000
2002/03/11,3034,novatek,7,1020,430.00,50,0
2002/03/11,3034,novatek,8,1021,423.50,0,1000
2002/03/11,3034,novatek,9,1021,428.00,0,1000
2002/03/11,3034,novatek,10,1021,430.00,0,2000
2002/03/11,3034,novatek,11,1021,431.00,0,2000
2002/03/11,3034,novatek,12,1022,430.00,0,400
2002/03/11,3034,novatek,13,1022,431.00,0,1000
2002/03/11,3034,novatek,14,1023,423.00,0,1000
2002/03/11,3034,novatek,15,1023,428.00,0,2000
2002/03/11,3034,novatek,16,1023,428.50,0,50
2002/03/11,3034,novatek,17,1023,429.00,0,1040
2002/03/11,3034,novatek,18,1023,429.50,0,1050
2002/03/11,3034,novatek,19,1023,430.00,0,2000
2002/03/11,3034,novatek,20,1023,430.50,0,1000
2002/03/11,3034,novatek,21,1023,431.00,0,3000
2002/03/11,3034,novatek,22,1024,425.00,0,10
2002/03/11,3034,novatek,23,1025,426.00,0,1000
2002/03/11,3034,novatek,24,1025,428.00,96,0
2002/03/11,3034,novatek,25,1025,429.00,0,50
2002/03/11,3034,novatek,26,1028,425.00,0,12
2002/03/11,3034,novatek,27,1029,422.00,0,4000
2002/03/11,3034,novatek,28,1029,425.50,0,1000
2002/03/11,3034,novatek,29,1029,428.00,20,0
2002/03/11,3034,novatek,30,102A,427.00,200,0
2002/03/11,3034,novatek,31,102A,428.50,115,0
2002/03/11,3034,novatek,32,102A,429.00,0,1000
2002/03/11,3034,novatek,33,102A,429.50,1000,0
2002/03/11,3034,novatek,34,102C,422.50,1000,0
2002/03/11,3034,novatek,35,102C,424.00,0,1000
2002/03/11,3034,novatek,36,102C,425.00,1000,0
2002/03/11,3034,novatek,37,102C,428.00,0,65
2002/03/11,3034,novatek,38,102C,428.50,1000,0
2002/03/11,3034,novatek,39,102C,431.50,0,4000
2002/03/11,3034,novatek,40,102E,422.00,2000,0
2002/03/11,3034,novatek,41,102E,430.00,100,3000
2002/03/11,3034,novatek,42,102E,431.00,2000,0
2002/03/11,3034,novatek,43,102F,426.00,0,1000
2002/03/11,3034,novatek,44,102F,429.00,1000,0
2002/03/11,3034,novatek,45,102F,430.50,0,1000
